about,Code,Text Deutsch,Text Englisch,Link
2.1b),about.nav.fororg,dotHIV für Engagierte,dotHIV for the HIV response,
2.1b),about.nav.criteria,Unsere Förderrichtlinien,Our Funding Guidelines,
2.1b),about.nav.charitydomains,Non-profit Domain,Non-profit Domain,
2.1b),about.nav.apply,Non-profit Domain sichern,Get your Non-profit Domain,
2.1b),about.nav.experts,Unser Experten Pool,Our Pool of Experts,
2.1b),about.nav.whoisbehind,Wer ist dotHIV,Who is dotHIV,
2.1b),about.nav.team,Team,Team,
2.1b),about.nav.organization,Die Organisation im Überbick,Organigram ,
2.1b),about.nav.partnersupporter,Partner & Supporter,Partner & Supporter,
2.1b),about.nav.partner,Unsere Partner,Our Partners,
2.1b),about.nav.supporter,Unserer Unterstützer,Our Supporters,
2.1b),about.nav.policyca,Unser Beirat,Our Advisory Board,
2.1b),about.nav.angels,Unsere Business Angel,Our Business Angels,
2.1b),about.nav.heavystuff,Schwere Kost,Heavy stuff,
2.1b),about.nav.getactive,Werde Teil von dotHIV,Become part of dotHIV,
2.1b),about.nav.newsstream,Newsstream,Newsstream,
2.1b),about.nav.registry,Die .hiv Regsistry,The .hiv Registry,
2.1c),about.mission.headline,Die Mission,The Mission,
2.1c),about.mission.text,"Der Kampf gegen AIDS steht dank großer Erfolge von Forschung und der Bemühungen von Aktivisten weltweit an einem entscheidenden Punkt. Erstmals in der Geschichte der Krankheit ist ein Ende von AIDS möglich. Zwei Dinge braucht es dafür: neue Gelder und eine verstärkte, internationale Aufmerksamkeit für das Thema. Genau hier setzt dotHIV an.","As a result of tremendous progress in science and thanks to the work of activists all around the world, the fight against AIDS is at a crucial point. For the first time in the  history of the disease an end of the AIDS is possible. Two things a essential to reach that goal: new money and boosted, international awareness for the topic. Thats where dotHIV approaches. ",
2.1d),about.goals.headline,Das Ziel,Our Goal,
2.1d),about.goals.text,".hiv soll dem Kampf gegen Aids neuen Schwung verleihen. Sie soll auf die Probleme im Feld HIV und Aids aufmerksam machen. Gleichzeit soll sie dran erinnern, dass ein Ende von AIDS in Sicht ist. Aber auch daran, dass der Kampf noch nicht gewonnen ist. Und dass wir ihn nur gewinnen können, wenn wir unsere Bemühungen verstärken und bündeln. Das ist das Ziel von .hiv.",".hiv will bring new momentum to the fight against AIDS. It is suppost to not only draw the attention to the problems in the field of HIV and AIDS, but to also remind people that the end of AIDS is in sight. At the same time it shall remind them that we haven’t won the fight against AIDS by now. And that we can only the fight  win if we reinforce and unite our efforts. That is what .hiv is going to do.",
2.1e),about.contribution.headline,Unser Beitrag,Our Contribution ,
2.1e),about.contribution.text,".hiv ist die erste und bisher einzige Domainendung in der Geschichte des Internets, die einem rein sozialen Zweck dient: dem Ende von AIDS. Wir nutzen die Dynamik des Domainmarkts um die Domainendung .hiv als digitale Rote Schleife ins Internet zu bringen. Damit erreichen wir 4 unterschiedliche Ziele:",.hiv ist the first and only domainending in the history of the Internet that serves a social purpose: the end of AIDS. We use the dynamics of the domain market to establish the domainending .hiv as the digital Red Ribbon. That way we achieve 4 different goals.,
2.1e),about.contribution.dropdown,Mehr erfahren,Lern more,"Link, der das Layerfenster mit mehr text öffnet"
2.1e),about.contribution.expand," 1. **Finanzielle Mittel:** .hiv Domains generieren Gelder, um HIV Organisationen weltweit zu unterstützen. 2. **Aufmerksamkeit:** .hiv Domains bringen das Thema HIV zurück ins Bewusstsein der Menschen. 3. **Kampf gegen Stigma:** .hiv Domains sind ein Zeichen der Solidarität mit denen, die von HIV betroffen sind. 4. **Netzwerk:** .hiv Domains erzeugen einen themengebundenen Raum im Internet und ein globales Netzwerk aus HIV Organisationen und Aktivisten.",1. **Financial Resources:** .hiv domains are generating money to support HIV organizations. 2. **Awareness:** .hiv domains are bringing the topic HIV back into peoples minds.3. **Fight the Stigma:** .hiv are a symbol of solidarity with those affected by HIV.4. **Network:** .hiv domains are creating a topic realted space within the Internet and a global network of HIV organizations and activists.  ,Layerfenster mit Anschlusstext
2.1f),about.AIDS.headline,HIV & Aids - die Situation,HIV & AIDS - The Situation,
2.1f),about.AIDS.text,"HIV und AIDS gehört zu einer der größten Herausforderungen unseres Zeitalters. Wir die einzigartige Möglichkeit zu besiegen, was bereits 28 Millionen Menschen das Leben gekostet hat. Aber auch wenn viele Fortschritte gemacht wurden seit die Krankheit in den 1980er Jahren das erste Mal in den USA aufgetaucht ist, bleibt viel zu tun. 34 Millionen Menschen sind HIV positiv und nur die Hälfte von ihnen hat Zugang zu Behandlung und Medikamenten. Seht euch hier die Entwicklung der Krankheit und seiner Bekämpfung der letzten 30 Jahren an.","HIV and AIDS is one of the biggest challenges of our era. We have the once in a livetime opportunity to beat what killed more than 28 million people. But although a lot of progress has been made ever since the disease first appeared in the USA in the 1980th, much remains to be done to beat the virus. Currently 34 Millionen people are infected with HIV and only half of them has access to tretament. Have a look at the history of the HIV and AIDS and the fight agianst it over the past 30 years.",
2.1f),about.AIDS.dropdown,Mehr erfahren,Learn more,
2.1f),about.AIDS.expand,"Die 1980er
1981- Die ersten Fälle von Aids tauchen in den USA auf - nur weiß damals noch niemand, dass es sich um Aids handelt. Die Krankheit bekommt zunächst den Namen Gay-related immune deficiency (GRID).

1982 - Da es sich bei den ersten Patienten um homosexuelle Männer handelt, kommt die erste HIV Organisation aus der Schwulenszene - Gay Men’s Health Crisis bildet sich in New York und besteht bis heute.

1983 - Bereits ein Jahr später gründete sich in Berlin die Deutsche AIDS-Hilfe. Inzwischen sind 120 weitere, lokale Aids-Hilfen dazu gekommen.
 
1986 - Bereits damals gab es erste Erfolge auf der Suche nach einer geeigneten Medikation bei einer HIV Infektion. Das bis dahin wirkungslos gegen Krebs eingesetzte Azidothymidin AZT zeigt Wirkung bei der Behandlung von HIV Patienten

1987 - AZT wird zur Behandlung von HIV zugelassen und war zu diesem Zeitpunkt das teuerste verschreibungspflichtige Medikament der Welt. Die Behandlung eines HIV Patienten hat damals ca. 10.000 USD pro Jahr gekostet. 

1988 - Die WHO erklärt den 1. Dezember zum Welt-Aids Tag. 

Die 1990er

1991 - Die Künstlergruppe Visual AIDS entwirft die Rote Schleife als internationales Symbol der Solidarität mit HIV Infizierten und an Aids Erkrankten. 

1992 - 100.000 dieser Schleifen werden bei einem Konzert zu Gedenken des Queen Sängers Freddy Mercury verteilt - er war kurz zuvor an Aids gestorben. 

1996 - Die UN ruft das Programm UNAIDS ins Leben, um die internationale Maßnahmen bezüglich der Infektionskrankheit zu bündeln. 

1999 - Trotz all der Bemühungen erreicht die Krankheit einen traurigen Rekord und wird zur 4häufigsten Todesursache aller Zeiten.

Ab 2000

2002 - Als Reaktion auf die Pandemie wird der Global Fund zur Bekämpfung von Aids, Tuberkulose und Malaria ins Leben gerufen. 

2003 - Die WHO veröffentlicht den Plan “3by5” mit dem Ziele, im Jahre 2005 3 Millionen Menschen in Entwicklungsländern mit antiretroviraler Therapie zu versorgen.

2004 - Die UN veröffentlich einen Bericht, demzufolge HIV sich in Russland und Osteuropa schneller verbreitet, als irgendwo anders auf der Welt.

2005 - der Sohn des südafrikanischen Freiheitskämpfers Nelson Mandela, Makgatho Mandela, stirbt an den Folgen von Aids. 

2006 - Rocksänger Bono ruft die Marke RED ins Leben und unterstützt mit dem Verkauf von RED Artikeln den Global Fund. 

2008 - Amerikanischer Senat und Repräsentantenhaus unterzeichnen den President’s Emergency Plan for AIDS. Das Einreiseverbot für HIV Positive wird jedoch erst zwei Jahre später, nach über 22 Jahren, aufgehoben. 

2009 - UNAIDS und die WHO veröffentlichen einen Bericht demzufolge die Zahl der HIV Infizierten mit Zugang zu Behandlung haben innerhalb eines Jahres um 36,% gestiegen ist.

2011 - der Global Fund muss aus mangelnder Finanzierung durch Geberländer die 11. Vergaberunde streichen.

Quellen:
Avert: 
http://www.avert.org/hiv-aids-history.htm
Deutsche Aids Hilfe:
http://www.aidshilfe.de/de/faq/chronik
ondamaris:
http://www.ondamaris.de/?page_id=1109 

","The 1980ies 
1981- The first cases of AIDS appeare in the USA - just that back than nobody knew that it iswas AIDS. At first AIDS was called Gay-related immune deficiency (GRID), also known as gay cancer.

1982 - Because of the fact that the first AIDS patient were all gay men, the first HIV organization grew out of the gay scene - Gay Men's Health Crisis was found in New York and continues even today.

1983 - Only one year later the Deutsche AIDS-Hilfe was found in Berlin. Until today 120 local AIDS-Hilfen where add.
 
1986 - The first Bereits damals gab es erste Erfolge auf der Suche nach einer geeigneten Medikation bei einer HIV Infektion. Das bis dahin wirkungslos gegen Krebs eingesetzte Azidothymidin AZT zeigt Wirkung bei der Behandlung von HIV Patienten

1987 - AZT wird zur Behandlung von HIV zugelassen und war zu diesem Zeitpunkt das teuerste verschreibungspflichtige Medikament der Welt. Die Behandlung eines HIV Patienten hat damals ca. 10.000 USD pro Jahr gekostet. 

1988 - The World Health Organization declared Deszember 1st as World-AIDS-Day.  

Die 1990ies

1991 - The artist group Visual AIDS designed the Red Ribbon as an international symbol of solidarity with people living with and affected by HIV and AIDS. 

1992 - 100.000 of these ribbons a distributed during a Freddy Mercury tribute concert. The leadsinger of the band Queen died of AIDS shortly before that. 

1996 - The UN starts their UNAIDS program to combine th einternational measures against HIV and AIDS. 

1999 - despite all efforts the disease reaches a sad record and becomes the fourth major cause of death of all times.

Since 2000

2002 - As a reaction to the pandemic the Global Fund to fight AIDS, tuberculosis and malaria was created.

2003 - The WHO published the ""3by5"" plan with the goal to provie 3 million people in devloping countries by 2005. 

2004 - UNO released a report whereby HIV is spreading faster in Russia and Eastern Europe faster than anywhere else in the world.  

2005 -  Makgatho Mandela, the son of the south african freedom fighter Nelcon Mandela, dies of AIDS. 

2006 - Rockstar Bono initiates the brand RED and supports the Global Fund through the sale of the products.

2008 - the amercian senat and the House of Representatives signed the President's Emergency Relief Plan forAIDS. But the entry ban for people Living with HIV was abolished only two years later - after a period of 22 years. 

2009 - UNAIDS and the WHO published a report whereby the number of HIV+ people with access to treatment have gone up by 36%.

2011 - the Global Fund had ti cancel its 11th round of funding because of declining financial contributions of the donor countries.

Quellen:
Avert: 
http://www.avert.org/hiv-aids-history.htm
Deutsche Aids Hilfe:
http://www.aidshilfe.de/de/faq/chronik
ondamaris:
http://www.ondamaris.de/?page_id=1109 

",
2.1f),about.AIDS.pictute1,,,Foto
2.1f),about.AIDS.picture2,,,Foto
2.1f),about.AIDS.facts.headline,Daten & Fakten,Facts & Ficures,
2.1f),about.AIDS.facts.text,"Hier findet ihr einige Daten und Fakten zur momentan Situation im Bereich HIV und AIDS. Falls ihr mehr Faktenwissen haben möchtet, haben wir euch noch ein paar Links zu Seiten zusammengetsellt, die einen guten Überblick bieten.","Here you can find some facts and figures about the current situation of HIV and AIDS around the world. If you want to learn more, we also assembled a couple of links that outline the most important facts.",
2.1f),about.AIDS.facts.dropdown,Mehr erfahren,Learn more,
2.1f),about.AIDS.facts.expand,"·           Zahl der HIV-Infizierten weltweit:
34.2 Millionen
 
·           Zahl der HIV-Neuinfizierungen im Jhar 2012:
2.3 Millionen
 
·           Zahl der AIDS-Toten:
1.7 Millionen
 
·           Zahl der HIV-positiven Kinder unter 15 Jahren:
3.4 Millionen
 
·           Rückgang der HIV Infizierungen in 10 Jahren (2001-2011): 21%
 
·           HIV-Infizierte, die lebensnotwendige ART erhielten:
8 Millionen
 
·           Kosten für ART pro Jahr/Kopf:
200 USD
 
·           Versorgung mit ART in unterschiedlichen Regionen
-        Sub-Sahara Afrika: 56%
-        Lateinamerika: 70%
-        Karibik: 67%
-        Osteuropa/Zentralasien: 23%
-        Nordafrika: 13%
 
·           Kinder, deren Eltern an AIDS gestorben sind weltweit:
17.3 Millionen
 
·           Anzahl HIV-positiver, schwangerer Frauen: 
1.5 Millionen
 
·           Davon Frauen, denen ART zur Verfügung stand:
57%
 
·           Global geleistet Ausgaben zur Bekämpfung von HIV/AIDS: 
16.8 Milliarden USD
 
·           Jährlich fehlende Gelder zur HIV/AIDS-Bekämpfung laut UNAIDS:
7 Milliarden USD
 
 
 
Wusstet ihr schon?
 
·           HIV/AIDS ist weltweit die häufigste Todesursache für Frauen im gebärfähigen Alter.
 
·           63% aller jungen Erwachsenen (zwischen 15 und 24), die mit HIV leben, sind Frauen.
 
·           Jeden tag stecken sich weltweit 2400 junge Erwachsene im Alter zwischen 15 und 24 Jahren mit HIV an.
 
·           Eine funktionierende medikamentöse HIV Therapie bedeutet, dass die Ansteckungsgefahr um 96% sinkt.
 
·           Nach wie vor erhalten alleine im südlichen Afrika 7 Millionen HIV-Infizierte keine Behandlung, weil sie nicht um ihren HIV Status wissen
 
·           In Zentralasien und Osteuropa hat sich die Zahl der HIV Infizierten seit 2001 verdreifacht.
 
·           Täglich stecken sich nach wie vor 1000 Kinder mit HIV an.
 


Verlinkungen

UNAIDS Report on the global AIDS Epidemic 2012:
http://www.unaids.org/en/media/unaids/contentassets/documents/epidemiology/2012/gr2012/20121120_UNAIDS_Global_Report_2012_with_annexes_en.pdf 
 
UNAIDS: Together we will end AIDS
http://www.unaids.org/en/media/unaids/contentassets/documents/epidemiology/2012/20120718_togetherwewillendaids_en.pdf

UNAIDS: 2012 Progress reports submitted by countries
http://www.unaids.org/en/dataanalysis/knowyourresponse/countryprogressreports/2012countries/ 




Verlinkungen
Hintergrundinformationen zum Virus – was ist das HI-Virus, wie breitet es sich aus, wie entwickelt es sich, wie steckt man sich an und wie nicht, was mache ich, wenn ich HIV+ bin usw. sind hier als PDF-Downloads hinterlegt. 

Auf englisch:
 
namaidsmap.com:
http://www.aidsmap.com/hiv-basics/HIV-AIDS/page/1412437/
 
thebody.com:
http://www.thebody.com/content/art49930.html
 
Auf deutsch:

gib-aids-keine-chance.de:
http://www.gib-aids-keine-chance.de/wissen/hiv_aids.php

aidshilfe.de:
http://www.aidshilfe.de/de/faq/chronik 

","·           Number of people living with HIV worldwide:
35.2 Millionen
 
·           People newly infected with HIV in 2012:
2.3 Millionen
 
·           AIDS death in 2012:
1.6 Millionen
 
·           Number of people living with HIV under 15 in 2012:
3.3 Millionen
 
 
·          Number of people receiving treatmemnt (ART) in 2012:
9,7 Millionen
 
·           Expensses for ART peryear/per capita:
200 USD
 
·        Provision with ART in different regions:
-        Sub-saharan Africa: 56%
-        Latinamerica: 70%
-        Caribbean: 67%
-        Eastern Europe/Central Asia: 23%
-        Northern Africa: 13%
 
·          Number of Children that lost one or both parent(s) to AIDS:
17.3 Millionen
 
·           Anzahl HIV-positiver, schwangerer Frauen: 
1.5 Millionen
 
·           Davon Frauen, denen ART zur Verfügung stand:
57%
 
·           Global geleistet Ausgaben zur Bekämpfung von HIV/AIDS: 
16.8 Milliarden USD
 
·           Jährlich fehlende Gelder zur HIV/AIDS-Bekämpfung laut UNAIDS:
7 Milliarden USD
 
 
 
Wusstet ihr schon?
 
·           HIV/AIDS ist weltweit die häufigste Todesursache für Frauen im gebärfähigen Alter.
 
·           63% aller jungen Erwachsenen (zwischen 15 und 24), die mit HIV leben, sind Frauen.
 
·           Jeden tag stecken sich weltweit 2400 junge Erwachsene im Alter zwischen 15 und 24 Jahren mit HIV an.
 
·           Eine funktionierende medikamentöse HIV Therapie bedeutet, dass die Ansteckungsgefahr um 96% sinkt.
 
·           Nach wie vor erhalten alleine im südlichen Afrika 7 Millionen HIV-Infizierte keine Behandlung, weil sie nicht um ihren HIV Status wissen
 
·           In Zentralasien und Osteuropa hat sich die Zahl der HIV Infizierten seit 2001 verdreifacht.
 
·           Täglich stecken sich nach wie vor 1000 Kinder mit HIV an.
 


Verlinkungen

UNAIDS Report on the global AIDS Epidemic 2012:
http://www.unaids.org/en/media/unaids/contentassets/documents/epidemiology/2012/gr2012/20121120_UNAIDS_Global_Report_2012_with_annexes_en.pdf 
 
UNAIDS: Together we will end AIDS
http://www.unaids.org/en/media/unaids/contentassets/documents/epidemiology/2012/20120718_togetherwewillendaids_en.pdf

UNAIDS: 2012 Progress reports submitted by countries
http://www.unaids.org/en/dataanalysis/knowyourresponse/countryprogressreports/2012countries/ 




Verlinkungen
Hintergrundinformationen zum Virus – was ist das HI-Virus, wie breitet es sich aus, wie entwickelt es sich, wie steckt man sich an und wie nicht, was mache ich, wenn ich HIV+ bin usw. sind hier als PDF-Downloads hinterlegt. 

Auf englisch:
 
namaidsmap.com:
http://www.aidsmap.com/hiv-basics/HIV-AIDS/page/1412437/
 
thebody.com:
http://www.thebody.com/content/art49930.html
 
Auf deutsch:

gib-aids-keine-chance.de:
http://www.gib-aids-keine-chance.de/wissen/hiv_aids.php

aidshilfe.de:
http://www.aidshilfe.de/de/faq/chronik 

",
2.1f),about.AIDS.link1,,,Graphik mit Link dahinter
2.1f),about.AIDS.link2,,,Graphik mit Link dahinter
2.1f),about.AIDS.link3,,,Graphik mit Link dahinter
2.2a),about.whoisbehind.headline,,,Unser Film
2.2a),about.whoisbehind.film,"Über dotHIV
",About dotHIV,
2.2b),about.whoisbehind.manifesto.headline,dotHIV - Das Mission Statement,dotHIV - The Mission Statement,
2.2b),about.whoisbehind.manifesto.popup,Lies unser Mission Statment,Read our Mission Statment,
,about.whoisbehind.manifesto.middle1,"dotHIV is a Social Enterprise.
With the domain-ending “.hiv”, we implant the fight against AIDS in the DNA of the Internet. 
We join forces with all those who are active in the global HIV response. 
As an organization, we are mission driven. Our work is based on values. We are committed to continuous learning
as we are working in an innovative field of technology with a new approach to fight AIDS. 
We sell .hiv-domains to raise awareness, reduce HIV-related stigma and financially support the 
initiatives of the AIDS response. We believe in the power of networks and in bottom-up approaches. 
Together, we will establish .hiv as the digital Red Ribbon. ","dotHIV is a Social Enterprise.
With the domain-ending “.hiv”, we implant the fight against AIDS in the DNA of the Internet. 
We join forces with all those who are active in the global HIV response. 
As an organization, we are mission driven. Our work is based on values. We are committed to continuous learning
as we are working in an innovative field of technology with a new approach to fight AIDS. 
We sell .hiv-domains to raise awareness, reduce HIV-related stigma and financially support the 
initiatives of the AIDS response. We believe in the power of networks and in bottom-up approaches. 
Together, we will establish .hiv as the digital Red Ribbon. ",
2.2b),about.whoisbehind.manifesto.left,".hiv – the Top-Level Domain. 
.hiv is:
An open, global technical infrastructure. 
To support all diverse communities. 
A place for free expression. 
Ready to be filled with life. 
An innovative, decentralized network. 
That tackles a global problem with local power. 
What is .hiv? 
The digital Red Ribbon! 
Who is .hiv? Everyone! 
Together, we will ignite even more. 
.hiv creates an Internet with a bigger meaning: 
A web with a purpose. 
At the service of anyone who shares our goal: 
The end of AIDS.",".hiv – the Top-Level Domain. 
.hiv is:
An open, global technical infrastructure. 
To support all diverse communities. 
A place for free expression. 
Ready to be filled with life. 
An innovative, decentralized network. 
That tackles a global problem with local power. 
What is .hiv? 
The digital Red Ribbon! 
Who is .hiv? Everyone! 
Together, we will ignite even more. 
.hiv creates an Internet with a bigger meaning: 
A web with a purpose. 
At the service of anyone who shares our goal: 
The end of AIDS.",
,about.whoisbehind.manifesto.right," dotHIV – the charitable organization. 
dotHIV is: 
Transparent and mission-driven.
Ready to forge new paths.
Bundling the power of the AIDS response.
To give the fight a new momentum.
Not a service organization. 
But a booster for aid organizations. 
We stand for a new perception. 
And encourage communication without using fear. 
We eliminate outdated prejudices. 
With empathy instead of pity. 
In touch with our communities,
here is what we want to do:
Open minds and power small initiatives.
Give HIV a new visibility on the web.
Together, behind the same goal:
The end of AIDS. "," dotHIV – the charitable organization. 
dotHIV is: 
Transparent and mission-driven.
Ready to forge new paths.
Bundling the power of the AIDS response.
To give the fight a new momentum.
Not a service organization. 
But a booster for aid organizations. 
We stand for a new perception. 
And encourage communication without using fear. 
We eliminate outdated prejudices. 
With empathy instead of pity. 
In touch with our communities,
here is what we want to do:
Open minds and power small initiatives.
Give HIV a new visibility on the web.
Together, behind the same goal:
The end of AIDS. ",
,about.whoisbehind.manifesto.middle2,Because .hiv (Logo) makes helping easy: click.,Because .hiv (Logo) makes helping easy: click.,
2.2c),about.concept.headline,Der gute Klick,The good click,
2.2c),about.concept.text,Tue etwas gutes mit jdem Klick - das ist das Grundprinzip von .hiv. Erfahre hier wie wir Gelder einnehmen und sie weitergeben. Wie funktinoert das Klick-Prinzip? Wie das Voting-Prinzip? Finde es hier raus.,Do something good with every click -  that is the basic principle of .hiv. Here you can find out how we raise money and we distribute it. Learn how the click process and the voting process work.,
2.2c),about.concept.graphic,,,
2.2c),about.concept.dropdown,Mehr erfahren,Learn more,
2.2c),about.concept.expand,"Eine .hiv-Website kann entweder als Hauptwebsite oder Schwester-Seite einer bekannten Seite genutzt werden: User haben das gleiche Resultat auf pepsi.com und pepsi.hiv – ein Klick auf eine .hiv-Seite leitet auf die Standard-Homepage weiter. Und in beiden Fällen tut ein Klick etwas Gutes: Jeder Besuch einer .hiv-Website löst eine Mikrospende aus.
Die Spenden sind durch den Domain-Verkauf finanziert: Der größte Teil des Preises jeder verkauften .hiv-Adresse ist für soziale Zwecke reserviert. Natürlich können Unternehmen ihr Engagement durch weitere fundraising-Kampagnen auf .hiv-Seiten erweitern. Also, kurz gesagt: Das Betreiben und Verkaufen von Domains füllt einen wachsenden Spendentopf, den die Internet-User mit jedem Klick auf eine .hiv-Domain aktivieren.
Dieses Prinzip macht dem Kampf gegen Aids zu einer gemeinsamen Sache: Website-Betreiber und Internet-User erwecken die .hiv-Domains zum Leben.

",,
2.2d),about.usage.headline,"Top .hiv-Nutzungskonzepte
",Top .hiv use concepts,
2.2d),about.usage.text,".hiv Domains bieten viel Raum für Kreativität, die gleichzeitig einem guten Zweck dient. Ob spezielle Inhalte auf .hiv Seiten, besondere Aktionen zum Welt-AIDS-Tag oder Kampagnen die .hiv von der online in die offline Welt tragen. Hier findet ihr Nutzungskonzepte, die .hiv auf ganz besondere Art und Weise Leben einhauchen.",".hiv domains offer a lot of space for creativity, that serves a good cause at the same time. Whether it is special content on .hiv webpages, special prommotion on World-AIDS-Day or campagnes that bring .hiv from the online to the world offline. Have a look at some concepts, taht are using a very unique way to bring .hiv to life.",
2.2d),about.usage.link1,,,
2.2d),about.usage.claim1,,,
2.2d),aboute.usage.link2,,,
2.2d),about.usage.claim2,,,
2.2d),about.usage.link3,,,
2.2d),about.usage.claim3,,,
2.2e),about.moneyusage.headline,Wohin geht das Geld,Where does the money go?,
